Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
76,0.2656300651969887,0.3174157303370787,0.07468119824107011,0.,0.4070121951219511,0.42253621921486184,0.10179463080905404,0.6929861712076492,0.75,0.5143373493975913,0.1875,0.4166666666666667,-1,0.5219914040114613,0.5982608365619069,0.6048387096774194,0.18956043956043955
77,0.26054374988864887,0.3314606741573034,0.14936239648214034,0.0009960199000526027,0.4070121951219511,0.4036033170397504,0.21343400347585018,0.6919586815760629,0.75,0.5143373493975913,0.1875,0.08333333333333333,-1,0.42550143266475643,0.4883761931117607,0.4959677419354839,0.23076923076923084
78,0.2532048138096302,0.33988764044943826,0.2264732912413276,0.03784875620200001,0.3887195121951219,0.40825461341325076,0.3508075313587844,0.6862374240157215,0.75,0.5265151515151515,0.1875,0.3333333333333333,-1,0.308810888252149,0.6261680475968646,0.6362903225806451,0.478021978021978
79,0.24838582059186176,0.3483146067415731,0.35038781366529514,0.10923018237243887,0.3292682926829268,0.39895885284141297,0.48944512409625274,0.6761358044848477,0.75,0.6237373737373737,0.1875,0.,0.3441923469443089,0.27120343839541544,0.19186207586533455,0.20564516129032262,0.5604395604395604
80,0.2391105752149052,0.3567415730337079,0.6699913724460479,0.30066520716255524,0.4527439024390243,0.3486978031206154,0.7066220984264165,0.6434236103563467,0.375,0.6007805325987144,0.1875,0.49999999999999994,-1,0.75,0.7355294308401054,0.7379032258064516,-1
81,0.2294004997951139,0.3988764044943821,0.5272441444313912,0.35657512421884313,0.5396341463414633,0.5667293578349715,0.6391206414046215,0.6301318604938182,0.75,0.33090361445783256,0.5625,0.08333333333333333,-1,0.7087392550143267,0.6697730648389861,0.6689516129032258,0.6675824175824175
82,0.2221903214715102,0.40449438202247195,0.4919496055366389,0.3735074625197379,0.3772865853658536,0.48776783504341426,0.6345014885249689,0.6250751537786707,0.75,0.6581726354453628,0.5625,0.25,0.28177664832063165,0.6745702005730659,0.6889592724255196,0.6919354838709677,0.6428571428571428
83,0.21763286008501392,0.43539325842696636,0.5156071768972519,0.4253004973224749,0.44817073170731697,0.49499768601077543,0.6455591025795849,0.6113501854195204,0.75,0.5342056932966024,0.5625,-1,-1,0.5540114613180516,0.7360526910470108,0.7406854838709678,0.581043956043956
84,0.2175826880769397,0.4578651685393259,0.5925901928923277,0.4446896847101662,0.4527439024390243,0.43628349032161484,0.6489653832623637,0.6059440497186083,0.75,0.22354838709677471,0.5625,-1,-1,0.3560888252148997,-1,0.7221774193548387,-1
85,0.2150228917466228,0.48033707865168546,-1,-1,0.4070121951219511,0.3855121607755283,0.6395144310789312,-1,0.75,0.13971774193548403,0.5625,-1,-1,0.16955587392550142,0.74651789518512,-1,-1
86,0.1843053357828195,0.5,0.72349968371319,0.7496799422853834,-1,0.33679066581067385,0.7129562053376878,0.,0.,0.21955645161290338,0.5625,-1,-1,0.75,0.75,-1,-1
